obj_id,subj,trial,syll,series,raw_f0,condition,unique,demeaned_f0
109_10,109,10,da~,55,90.11883908170591,dn,105_08_6,-15.96861431199757
109_10,109,10,da~,56,89.55569339985671,dn,105_08_6,-16.531759993846777
109_10,109,10,da~,57,88.84393773662549,dn,105_08_6,-17.243515657077992
109_10,109,10,da~,58,88.11755311415061,dn,105_08_6,-17.969900279552874
109_10,109,10,da~,59,87.49726779940573,dn,105_08_6,-18.59018559429775
109_10,109,10,le,60,87.07755557411778,dn,105_08_7,-19.009897819585703
109_10,109,10,le,61,86.94691397892386,dn,105_08_7,-19.140539414779624
109_10,109,10,le,62,86.83748140266131,dn,105_08_7,-19.249971991042173
109_10,109,10,le,63,86.77046686426152,dn,105_08_7,-19.316986529441962
109_10,109,10,le,64,86.74800726765147,dn,105_08_7,-19.33944612605201
109_10,109,10,le,65,86.74782514193632,dn,105_08_7,-19.339628251767166
109_10,109,10,le,66,86.81521714718073,dn,105_08_7,-19.272236246522752
109_10,109,10,le,67,86.91210999866775,dn,105_08_7,-19.17534339503574
109_10,109,10,le,68,87.06800454263994,dn,105_08_7,-19.019448851063544
109_10,109,10,le,69,87.29132219662665,dn,105_08_7,-18.796131197076832
109_10,109,10,swa,70,87.54835140562064,dn,105_08_8,-18.539101988082848
109_10,109,10,swa,71,88.9283449160793,dn,105_08_8,-17.159108477624187
109_10,109,10,swa,72,90.45751102011086,dn,105_08_8,-15.629942373592627
109_10,109,10,swa,73,91.98667712414242,dn,105_08_8,-14.100776269561067
109_10,109,10,swa,74,93.51584322817399,dn,105_08_8,-12.571610165529492
109_10,109,10,swa,75,95.04500933220554,dn,105_08_8,-11.042444061497946
109_10,109,10,swa,76,96.54398574421417,dn,105_08_8,-9.543467649489315
109_10,109,10,swa,77,96.26588660058941,dn,105_08_8,-9.821566793114073
109_10,109,10,swa,78,92.00966821299815,dn,105_08_8,-14.077785180705334
109_10,109,10,swa,79,87.65130277151944,dn,105_08_8,-18.436150622184044
109_10,109,10,Re,80,86.27072620463461,dn,105_08_9,-19.81672718906887
109_10,109,10,Re,81,86.29284947727845,dn,105_08_9,-19.794603916425032
109_10,109,10,Re,82,86.47780385320755,dn,105_08_9,-19.609649540495937
109_10,109,10,Re,83,86.63852767955913,dn,105_08_9,-19.44892571414435
109_10,109,10,Re,84,86.71701980477546,dn,105_08_9,-19.370433588928023
109_10,109,10,Re,85,86.39850300787633,dn,105_08_9,-19.688950385827155
109_10,109,10,Re,86,85.70826726446444,dn,105_08_9,-20.379186129239045
109_10,109,10,Re,87,84.71246349402384,dn,105_08_9,-21.374989899679647
109_10,109,10,Re,88,84.02750764651863,dn,105_08_9,-22.059945747184855
109_10,109,10,Re,89,83.80208420368743,dn,105_08_9,-22.285369190016056
109_27,109,27,pER,0,113.93273618995016,negsub,105_08_1,7.8452827962466785
109_27,109,27,pER,1,113.92120348231761,negsub,105_08_1,7.833750088614124
109_27,109,27,pER,2,113.89760227140366,negsub,105_08_1,7.810148877700172
109_27,109,27,pER,3,113.88596671279237,negsub,105_08_1,7.798513319088883
109_27,109,27,pER,4,113.926991160996,negsub,105_08_1,7.839537767292512
109_27,109,27,pER,5,114.05619740699116,negsub,105_08_1,7.968744013287676
109_27,109,27,pER,6,114.30600686443005,negsub,105_08_1,8.218553470726562
109_27,109,27,pER,7,114.71240818744548,negsub,105_08_1,8.624954793741992
109_27,109,27,pER,8,115.29844924245168,negsub,105_08_1,9.210995848748198
109_27,109,27,pER,9,116.0331403166829,negsub,105_08_1,9.94568692297942
109_27,109,27,sOn,10,117.26144761821996,negsub,105_08_2,11.173994224516477
109_27,109,27,sOn,11,120.99268081224963,negsub,105_08_2,14.905227418546147
109_27,109,27,sOn,12,125.1964424952604,negsub,105_08_2,19.108989101556915
109_27,109,27,sOn,13,129.41356754729063,negsub,105_08_2,23.32611415358714
109_27,109,27,sOn,14,133.63069259932084,negsub,105_08_2,27.543239205617354
109_27,109,27,sOn,15,137.23098131383685,negsub,105_08_2,31.143527920133366
109_27,109,27,sOn,16,137.7130212325107,negsub,105_08_2,31.625567838807214
109_27,109,27,sOn,17,135.05361557457977,negsub,105_08_2,28.96616218087628
109_27,109,27,sOn,18,131.84357852486417,negsub,105_08_2,25.756125131160687
109_27,109,27,sOn,19,127.3102013912727,negsub,105_08_2,21.222747997569215
109_27,109,27,n@,20,119.8532967623934,negsub,105_08_3,13.765843368689914
109_27,109,27,n@,21,116.85137187901027,negsub,105_08_3,10.763918485306789
109_27,109,27,n@,22,114.09339236443164,negsub,105_08_3,8.005938970728153
109_27,109,27,n@,23,111.69142455262137,negsub,105_08_3,5.603971158917886
109_27,109,27,n@,24,109.64079663156659,negsub,105_08_3,3.5533432378631034
109_27,109,27,n@,25,108.07942785219922,negsub,105_08_3,1.9919744584957328
109_27,109,27,n@,26,106.92602012054294,negsub,105_08_3,0.8385667268394599
109_27,109,27,n@,27,105.83773002938594,negsub,105_08_3,-0.24972336431754627
109_27,109,27,n@,28,104.47126428079875,negsub,105_08_3,-1.6161891129047348
109_27,109,27,n@,29,102.70473636693919,negsub,105_08_3,-3.382717026764297
109_27,109,27,di,30,100.77045045313736,negsub,105_08_4,-5.317002940566127
109_27,109,27,di,31,98.94843505824264,negsub,105_08_4,-7.139018335460847
109_27,109,27,di,32,98.17358617006074,negsub,105_08_4,-7.91386722364274
109_27,109,27,di,33,98.15609368237983,negsub,105_08_4,-7.931359711323651
109_27,109,27,di,34,98.31872507779504,negsub,105_08_4,-7.768728315908447
109_27,109,27,di,35,98.50994631742013,negsub,105_08_4,-7.577507076283354
109_27,109,27,di,36,98.9360542979243,negsub,105_08_4,-7.151399095779183
109_27,109,27,di,37,99.8507565383078,negsub,105_08_4,-6.236696855395678
109_27,109,27,di,38,101.40229222249695,negsub,105_08_4,-4.685161171206531
109_27,109,27,di,39,103.2026638886207,negsub,105_08_4,-2.8847895050827788
109_27,109,27,mo,40,104.95319613645646,negsub,105_08_5,-1.1342572572470289
109_27,109,27,mo,41,106.65503762817298,negsub,105_08_5,0.5675842344694928
109_27,109,27,mo,42,108.64703175249146,negsub,105_08_5,2.5595783587879737
109_27,109,27,mo,43,111.09316588439374,negsub,105_08_5,5.005712490690257
109_27,109,27,mo,44,113.90156647324784,negsub,105_08_5,7.814113079544356
109_27,109,27,mo,45,116.98448358780186,negsub,105_08_5,10.897030194098377
109_27,109,27,mo,46,120.24073745036296,negsub,105_08_5,14.153284056659473
109_27,109,27,mo,47,122.85561432413667,negsub,105_08_5,16.768160930433183
109_27,109,27,mo,48,124.19924044603587,negsub,105_08_5,18.11178705233239
109_27,109,27,mo,49,124.02502259924884,negsub,105_08_5,17.93756920554536
109_27,109,27,pa~,50,122.68167169824255,negsub,105_08_6,16.59421830453907
109_27,109,27,pa~,51,120.0901506109717,negsub,105_08_6,14.00269721726822
109_27,109,27,pa~,52,116.97808942845938,negsub,105_08_6,10.8906360347559
109_27,109,27,pa~,53,113.72335464294483,negsub,105_08_6,7.635901249241343
109_27,109,27,pa~,54,110.46861985743027,negsub,105_08_6,4.381166463726785
109_27,109,27,pa~,55,107.24084199419036,negsub,105_08_6,1.1533886004868776
109_27,109,27,pa~,56,104.32034076935852,negsub,105_08_6,-1.7671126243449606
109_27,109,27,pa~,57,102.18333177298061,negsub,105_08_6,-3.9041216207228757
109_27,109,27,pa~,58,100.95104265500544,negsub,105_08_6,-5.136410738698046
109_27,109,27,pa~,59,100.06137008592688,negsub,105_08_6,-6.026083307776602
109_27,109,27,da~,60,99.20717099495407,negsub,105_08_7,-6.880282398749415
109_27,109,27,da~,61,98.71019166396259,negsub,105_08_7,-7.377261729740894
109_27,109,27,da~,62,98.33494846231746,negsub,105_08_7,-7.752504931386028
109_27,109,27,da~,63,98.03206002176805,negsub,105_08_7,-8.055393371935438
109_27,109,27,da~,64,97.76522790207486,negsub,105_08_7,-8.322225491628629
109_27,109,27,da~,65,97.6398699888798,negsub,105_08_7,-8.447583404823689
109_27,109,27,da~,66,97.95823460926978,negsub,105_08_7,-8.129218784433704
109_27,109,27,da~,67,98.87324339683995,negsub,105_08_7,-7.214209996863531
109_27,109,27,da~,68,100.34968555699908,negsub,105_08_7,-5.737767836704407
109_27,109,27,da~,69,102.18422309496667,negsub,105_08_7,-3.9032302987368155
109_27,109,27,y,70,112.33024211420813,negsub,105_08_8,6.242788720504649
109_27,109,27,y,71,113.37381075320585,negsub,105_08_8,7.286357359502361
109_27,109,27,y,72,113.72812004378258,negsub,105_08_8,7.640666650079098
109_27,109,27,y,73,113.27387093176932,negsub,105_08_8,7.1864175380658395
109_27,109,27,y,74,112.1214265670418,negsub,105_08_8,6.03397317333831
109_27,109,27,y,75,110.67314800537,negsub,105_08_8,4.585694611666511
109_27,109,27,y,76,109.19466176304326,negsub,105_08_8,3.107208369339773
109_27,109,27,y,77,107.74638951210463,negsub,105_08_8,1.6589361184011437
109_27,109,27,y,78,106.31938069647387,negsub,105_08_8,0.2319273027703872
109_27,109,27,y,79,104.73598320743436,negsub,105_08_8,-1.3514701862691254
109_27,109,27,n9R,80,102.89653630867473,negsub,105_08_9,-3.190917085028758
109_27,109,27,n9R,81,97.31225283794319,negsub,105_08_9,-8.775200555760293
109_27,109,27,n9R,82,91.84259885072606,negsub,105_08_9,-14.244854542977421
109_27,109,27,n9R,83,87.29168533092373,negsub,105_08_9,-18.795768062779757
109_27,109,27,n9R,84,84.53066701356884,negsub,105_08_9,-21.55678638013464
109_27,109,27,n9R,85,83.29150793850893,negsub,105_08_9,-22.795945455194556
109_27,109,27,n9R,86,81.98468482066322,negsub,105_08_9,-24.102768573040265
109_27,109,27,n9R,87,80.84208172607447,negsub,105_08_9,-25.245371667629016
109_27,109,27,n9R,88,80.66538811547751,negsub,105_08_9,-25.422065278225972
109_27,109,27,n9R,89,80.66538811547751,negsub,105_08_9,-25.422065278225972
109_08,109,08,pER,0,126.75599700925113,nc,105_08_1,20.668543615547648
109_08,109,08,pER,1,126.75594495703699,nc,105_08_1,20.668491563333504
109_08,109,08,pER,2,126.71191193067544,nc,105_08_1,20.624458536971957
109_08,109,08,pER,3,126.59711977289048,nc,105_08_1,20.509666379186996
109_08,109,08,pER,4,126.38412542717784,nc,105_08_1,20.29667203347435
109_08,109,08,pER,5,125.9991841593831,nc,105_08_1,19.91173076567962
109_08,109,08,pER,6,125.48440223312693,nc,105_08_1,19.396948839423445
109_08,109,08,pER,7,124.97144107981762,nc,105_08_1,18.88398768611414
109_08,109,08,pER,8,124.54799491501589,nc,105_08_1,18.460541521312408
109_08,109,08,pER,9,124.32368252010936,nc,105_08_1,18.236229126405874
109_08,109,08,sOn,10,124.654658910439,nc,105_08_2,18.567205516735513
109_08,109,08,sOn,11,128.22018815236459,nc,105_08_2,22.1327347586611
109_08,109,08,sOn,12,132.87866163544126,nc,105_08_2,26.791208241737777
109_08,109,08,sOn,13,137.55446763854994,nc,105_08_2,31.467014244846453
109_08,109,08,sOn,14,142.2302736416586,nc,105_08_2,36.14282024795513
109_08,109,08,sOn,15,146.0087731782056,nc,105_08_2,39.9213197845021
109_08,109,08,sOn,16,144.72162828463522,nc,105_08_2,38.63417489093173
109_08,109,08,sOn,17,138.77328653864964,nc,105_08_2,32.68583314494616
109_08,109,08,sOn,18,132.93698120325152,nc,105_08_2,26.849527809548036
109_08,109,08,sOn,19,126.70718820882195,nc,105_08_2,20.619734815118463
109_08,109,08,n@,20,119.76462034911802,nc,105_08_3,13.677166955414535
109_08,109,08,n@,21,117.79902898164914,nc,105_08_3,11.71157558794566
109_08,109,08,n@,22,115.92377449686752,nc,105_08_3,9.836321103164039
109_08,109,08,n@,23,114.0910620429851,nc,105_08_3,8.003608649281617
109_08,109,08,n@,24,112.27919560816643,nc,105_08_3,6.191742214462948
109_08,109,08,n@,25,110.49257802052873,nc,105_08_3,4.405124626825241
109_08,109,08,n@,26,108.93662310325642,nc,105_08_3,2.849169709552939
109_08,109,08,n@,27,107.4658829232207,nc,105_08_3,1.37842952951722
109_08,109,08,n@,28,106.06080556892366,nc,105_08_3,-0.026647824779828966
109_08,109,08,n@,29,104.69622199605563,nc,105_08_3,-1.3912313976478572
109_08,109,08,vwa,30,103.34134602749525,nc,105_08_4,-2.7461073662082356
109_08,109,08,vwa,31,100.05764209540737,nc,105_08_4,-6.02981129829611
109_08,109,08,vwa,32,97.96944887063519,nc,105_08_4,-8.118004523068294
109_08,109,08,vwa,33,97.85934036706688,nc,105_08_4,-8.228113026636606
109_08,109,08,vwa,34,99.73359088072668,nc,105_08_4,-6.353862512976804
109_08,109,08,vwa,35,102.71303856702892,nc,105_08_4,-3.374414826674567
109_08,109,08,vwa,36,104.72922010789001,nc,105_08_4,-1.3582332858134691
109_08,109,08,vwa,37,104.69953144636612,nc,105_08_4,-1.387921947337361
109_08,109,08,vwa,38,103.6078385025061,nc,105_08_4,-2.479614891197386
109_08,109,08,vwa,39,102.87437365195831,nc,105_08_4,-3.213079741745176
109_08,109,08,Rje~,40,103.22606048245552,nc,105_08_5,-2.861392911247961
109_08,109,08,Rje~,41,104.6954532679718,nc,105_08_5,-1.392000125731684
109_08,109,08,Rje~,42,105.95217474415429,nc,105_08_5,-0.13527864954919266
109_08,109,08,Rje~,43,107.10305732884187,nc,105_08_5,1.0156039351383868
109_08,109,08,Rje~,44,108.28730223348862,nc,105_08_5,2.1998488397851332
109_08,109,08,Rje~,45,108.75426335932138,nc,105_08_5,2.666809965617901
109_08,109,08,Rje~,46,107.15519522544712,nc,105_08_5,1.067741831743632
109_08,109,08,Rje~,47,103.65377730241961,nc,105_08_5,-2.4336760912838713
109_08,109,08,Rje~,48,100.08510598776907,nc,105_08_5,-6.002347405934415
