obj_id,subj,trial,syll,series,max_f0,min_f0,duration,condition
125_12,125,12,se,55,201.67329951690667,187.3256200519449,140,dn
125_12,125,12,ZuR,65,225.45917917894033,176.03295428625577,159.9999999999998,dn
125_12,125,12,la,75,187.71301714197432,174.79327263149202,130.0000000000001,dn
121_16,121,16,pER,5,259.73190276369803,222.8161504868918,176.3202047024165,dn
121_16,121,16,sOn,15,300.9202612257624,253.41301666419872,210.00000000000003,dn
121_16,121,16,n@,25,258.5717092615765,199.12091810067028,109.99999999999999,dn
121_16,121,16,vwa,35,199.12091810067028,176.8726030968695,180.00000000000006,dn
121_16,121,16,Rje~,45,292.7684124839249,178.83287084412322,359.9999999999999,dn
121_16,121,16,dy,55,239.24381597504478,194.172490470019,149.99999999999991,dn
121_16,121,16,tu,65,306.1503676152869,199.4058804952168,250,dn
107_01,107,01,pER,5,448.9874791029845,375.7737670800064,110.00000000000001,nc
107_01,107,01,sOn,15,375.7737670800064,186.0478934070848,300,nc
107_01,107,01,nEm,35,186.0478934070848,167.9505279216205,149.99999999999997,nc
107_01,107,01,Rje~,45,205.97223484163285,168.04282777004306,260,nc
107_01,107,01,i,55,188.0112691370952,180.65169268034288,40.000000000000036,nc
107_01,107,01,si,65,180.83885203609478,180.83885203609478,480,nc
107_20,107,20,maR,5,189.77090652755706,172.34398479231413,110.00000000000001,negob
107_20,107,20,la,15,221.22629528443665,189.77090652755706,109.99999999999999,negob
107_20,107,20,n@,25,226.93963069063534,181.35604884469933,100.00000000000003,negob
107_20,107,20,fE,35,183.01259557664437,158.9064378592949,159.99999999999997,negob
107_20,107,20,Rje~,45,205.69480502051317,160.07392295129983,160.00000000000003,negob
107_20,107,20,l@,55,203.66039073117594,167.83371590124852,79.99999999999996,negob
107_20,107,20,di,65,167.83371590124852,155.05491109357789,140,negob
107_20,107,20,ma~S,75,475.10438343518445,71.18849250199445,419.99999999999994,negob
121_05,121,05,pER,5,267.34485828597303,191.07494159678072,134.15855962104996,nc
