subject	item	response	rt	category	condition	truthVal	Check	PrsntOrd	check_mm
125	25	V	25.15	Critical4 NegSub	negsub	V	T	1	0
125	26	F	3.7	Critical4 NegSub	negsub	F	T	23	0
125	27	V	4.37	Critical4 NegSub	negsub	V	T	33	0
125	28	V	4.289	Critical4 NegSub	negsub	V	T	37	0
125	29	V	3.898	Critical4 NegSub	negsub	V	T	7	0
125	30	F	4.555	Critical4 NegSub	negsub	F	T	16	0
125	31	F	3.187	Critical4 NegSub	negsub	F	T	27	0
125	32	F	3.946	Critical4 NegSub	negsub	F	T	13	0
125	33	F	2.748	Control	filler	F	T	8	0
125	34	V	3.73	Control	filler	V	T	11	0
125	35	F	2.77	Control	filler	F	T	20	0
125	36	F	3.187	Control	filler	F	T	2	0
125	37	V	2.234	Control	filler	V	T	32	0
125	38	V	2.138	Control	filler	F	F	24	0
125	39	V	3.474	Control	filler	V	T	30	0
125	40	V	8.77	Control	filler	V	T	40	0
126	6	V	14.17	Critical1 NC	nc	V	T	4	nc
126	11	F	7.883	Critical2 DN	dn	V	F	5	dn_mm
126	14	F	11.29	Critical2 DN	dn	F	T	7	dn
126	8	F	3.873	Critical1 NC	nc	F	T	9	nc
126	5	F	5.779	Critical1 NC	nc	F	T	11	nc
126	13	F	12.51	Critical2 DN	dn	V	F	15	dn_mm
126	2	V	3.066	Critical1 NC	nc	V	T	17	nc
126	9	V	8.051	Critical2 DN	dn	V	T	18	dn
126	10	F	5.074	Critical2 DN	dn	F	T	21	dn
126	3	V	5.066	Critical1 NC	nc	V	T	25	nc
126	16	V	5.002	Critical2 DN	dn	V	T	27	dn
126	4	V	2.931	Critical1 NC	nc	V	T	30	nc
126	7	F	2.771	Critical1 NC	nc	F	T	31	nc
126	15	F	10.95	Critical2 DN	dn	F	T	35	dn
126	1	F	2.851	Critical1 NC	nc	F	T	39	nc
126	12	F	4.713	Critical2 DN	dn	F	T	40	dn
126	17	V	7.369	Critical3 NegOb	negob	V	T	20	0
126	18	V	3.612	Critical3 NegOb	negob	V	T	34	0
126	19	F	4.234	Critical3 NegOb	negob	F	T	24	0
126	20	F	2.778	Critical3 NegOb	negob	F	T	26	0
126	21	F	3.467	Critical3 NegOb	negob	F	T	38	0
126	22	V	2.075	Critical3 NegOb	negob	V	T	13	0
126	23	V	10.95	Critical3 NegOb	negob	V	T	1	0
126	24	F	1.786	Critical3 NegOb	negob	F	T	10	0
126	25	V	6.481	Critical4 NegSub	negsub	V	T	6	0
126	26	F	4.196	Critical4 NegSub	negsub	F	T	12	0
126	27	V	7.513	Critical4 NegSub	negsub	V	T	28	0
126	28	V	10.55	Critical4 NegSub	negsub	V	T	36	0
126	29	V	6.401	Critical4 NegSub	negsub	V	T	32	0
126	30	F	5.523	Critical4 NegSub	negsub	F	T	2	0
126	31	F	4.019	Critical4 NegSub	negsub	F	T	16	0
126	32	F	6.761	Critical4 NegSub	negsub	F	T	22	0
126	33	F	3.347	Control	filler	F	T	19	0
126	34	V	2.817	Control	filler	V	T	8	0
126	35	F	2.595	Control	filler	F	T	37	0
126	36	F	3.658	Control	filler	F	T	14	0
126	37	V	2.266	Control	filler	V	T	3	0
126	38	V	3.178	Control	filler	F	F	29	0
126	39	V	3.371	Control	filler	V	T	23	0
126	40	V	4.185	Control	filler	V	T	33	0
127	11	V	12.45	Critical2 DN	dn	V	T	4	dn
127	5	V	10.59	Critical1 NC	nc	F	F	5	nc_mm
127	3	F	9.586	Critical1 NC	nc	V	F	7	nc_mm
127	12	F	9.664	Critical2 DN	dn	F	T	8	dn
127	13	V	7.779	Critical2 DN	dn	V	T	11	dn
127	7	F	19.89	Critical1 NC	nc	F	T	14	nc
127	1	F	7.922	Critical1 NC	nc	F	T	16	nc
127	14	F	11.44	Critical2 DN	dn	F	T	17	dn
127	15	V	11.12	Critical2 DN	dn	F	F	22	dn_mm
127	4	V	5.917	Critical1 NC	nc	V	T	25	nc
127	6	V	5.914	Critical1 NC	nc	V	T	26	nc
127	10	F	7.618	Critical2 DN	dn	F	T	30	dn
127	9	V	9.49	Critical2 DN	dn	V	T	31	dn
127	8	F	10.56	Critical1 NC	nc	F	T	34	nc
127	2	V	3.098	Critical1 NC	nc	V	T	36	nc
127	16	V	7.467	Critical2 DN	dn	V	T	37	dn
127	17	V	8.01	Critical3 NegOb	negob	V	T	10	0
127	18	V	5.348	Critical3 NegOb	negob	V	T	2	0
127	19	F	3.125	Critical3 NegOb	negob	F	T	24	0
127	20	F	3.682	Critical3 NegOb	negob	F	T	32	0
127	21	F	11.37	Critical3 NegOb	negob	F	T	18	0
127	22	V	3.555	Critical3 NegOb	negob	V	T	39	0
127	23	V	3.306	Critical3 NegOb	negob	V	T	27	0
127	24	F	3.586	Critical3 NegOb	negob	F	T	12	0
127	25	V	5.475	Critical4 NegSub	negsub	V	T	19	0
127	26	F	7.618	Critical4 NegSub	negsub	F	T	3	0
127	27	V	3.866	Critical4 NegSub	negsub	V	T	13	0
127	28	V	4.011	Critical4 NegSub	negsub	V	T	9	0
127	29	V	4.632	Critical4 NegSub	negsub	V	T	23	0
127	30	F	4.458	Critical4 NegSub	negsub	F	T	38	0
127	31	F	3.851	Critical4 NegSub	negsub	F	T	29	0
127	32	F	3.81	Critical4 NegSub	negsub	F	T	35	0
127	33	F	2.138	Control	filler	F	T	20	0
127	34	V	5.85	Control	filler	V	T	21	0
127	35	F	15.22	Control	filler	F	T	1	0
127	36	F	5.068	Control	filler	F	T	6	0
127	37	V	2.5	Control	filler	V	T	28	0
127	38	F	3.57	Control	filler	F	T	40	0
127	39	V	6.883	Control	filler	V	T	33	0
127	40	V	4.562	Control	filler	V	T	15	0
