subj,trial,syll,series,raw_f0
107,24,Rje~,48,204.62636260524795
107,24,Rje~,49,207.4356830348813
107,24,o,50,208.14100687387736
107,24,o,51,207.10591255921932
107,24,o,52,205.08810634223394
107,24,o,53,202.14786816643925
107,24,o,54,198.36768255533534
107,24,o,55,193.8202165318865
107,24,o,56,188.49625945731816
107,24,o,57,182.1015943271268
107,24,o,58,174.74706946944931
107,24,o,59,166.91820882579935
107,24,tuR,60,159.20647323907778
107,24,tuR,61,149.48205769930138
107,24,tuR,62,142.79470400441193
107,24,tuR,63,136.6777770929325
107,24,tuR,64,130.54333867231114
107,24,tuR,65,124.49322399231389
107,24,tuR,66,121.84545411545774
107,24,tuR,67,128.97647960648874
107,24,tuR,68,142.16714804757805
107,24,tuR,69,145.4296289153276
107,24,dEl,70,133.79559158944346
107,24,dEl,71,106.53280036962175
107,24,dEl,72,84.6734296256683
107,24,dEl,73,77.949124650814
107,24,dEl,74,77.38973969878593
107,24,dEl,75,77.628107003763
107,24,dEl,76,78.08467128026881
107,24,dEl,77,78.12408094815203
107,24,dEl,78,78.12408094815203
107,24,dEl,79,78.12408094815203
100,15,pER,0,178.26695463482272
100,15,pER,1,178.20187899565911
100,15,pER,2,178.12002916453397
100,15,pER,3,177.9674310283984
100,15,pER,4,177.51374616379843
100,15,pER,5,176.7827749158827
100,15,pER,6,175.83339584298818
100,15,pER,7,174.74606487160833
100,15,pER,8,173.85553557165244
100,15,pER,9,173.58614534998227
100,15,sOn,10,174.66179712012982
100,15,sOn,11,179.15953347354474
100,15,sOn,12,184.26968470434775
100,15,sOn,13,189.41067278959392
100,15,sOn,14,194.52625088233032
100,15,sOn,15,197.71277035333196
100,15,sOn,16,196.44517984346365
100,15,sOn,17,198.20540327316039
100,15,sOn,18,206.52201909356668
100,15,sOn,19,211.48027932310293
100,15,n@,20,200.68860977888582
100,15,n@,21,194.5597530173958
100,15,n@,22,188.05151280881398
100,15,n@,23,181.4546128259587
100,15,n@,24,175.0079696170425
100,15,n@,25,168.89869260567235
100,15,n@,26,163.6838157894706
100,15,n@,27,159.4501852645479
100,15,n@,28,156.20528878584264
100,15,n@,29,153.9265001121537
100,15,mE,30,152.56107900614046
100,15,mE,31,151.5364919785623
100,15,mE,32,150.62136983064852
100,15,mE,33,149.29822306716764
100,15,mE,34,148.02551580088013
100,15,mE,35,146.80715694855434
100,15,mE,36,145.2592881452833
100,15,mE,37,143.7386671177393
100,15,mE,38,142.85333505768253
100,15,mE,39,142.46738102007268
100,15,Rje~,40,142.0751397073011
100,15,Rje~,41,142.49075379926646
100,15,Rje~,42,147.9483473446059
100,15,Rje~,43,157.10226811216563
100,15,Rje~,44,163.33126660567024
100,15,Rje~,45,168.21665613931265
100,15,Rje~,46,172.96879897655467
100,15,Rje~,47,175.763794377825
100,15,Rje~,48,176.63202377347739
100,15,Rje~,49,177.0813570583805
100,15,da~,50,173.91890699414608
100,15,da~,51,169.0472344180666
100,15,da~,52,164.17862519737474
100,15,da~,53,160.57987782123254
100,15,da~,54,157.69561048065097
100,15,da~,55,154.30212153585762
100,15,da~,56,150.55620073984517
100,15,da~,57,147.36720416062093
100,15,da~,58,145.42099615462544
100,15,da~,59,144.94432898811712
100,15,se,60,146.02090333586742
100,15,se,61,149.81692896566463
100,15,se,62,154.75660805918042
100,15,se,63,159.88719629579094
100,15,se,64,165.0177845324015
100,15,se,65,170.14837276901196
100,15,se,66,174.7068238555883
100,15,se,67,175.27337980061392
100,15,se,68,170.39779578786064
100,15,se,69,163.90725730160725
100,15,pla,70,159.54649359357956
100,15,pla,71,157.04328208721313
100,15,pla,72,154.52727508515898
100,15,pla,73,152.01126808310488
100,15,pla,74,149.4952610810507
100,15,pla,75,146.97925407899663
100,15,pla,76,144.4632470769425
100,15,pla,77,141.9914873195961
100,15,pla,78,139.7724656867729
100,15,pla,79,138.0271632883814
100,15,kaR,80,136.9273436040662
100,15,kaR,81,136.70401487056378
100,15,kaR,82,137.0802768490847
100,15,kaR,83,137.59206995249315
100,15,kaR,84,138.1051609520977
100,15,kaR,85,138.6182519517022
100,15,kaR,86,139.13134295130672
100,15,kaR,87,139.64686518638894
100,15,kaR,88,140.259331297653
100,15,kaR,89,140.90376555143592
127,16,pER,0,263.84955835663243
127,16,pER,1,256.80335852459143
127,16,pER,2,246.92314521624897
127,16,pER,3,241.95615468388596
127,16,pER,4,241.36614277280913
127,16,pER,5,241.8502504835399
127,16,pER,6,239.44910097730877
127,16,pER,7,237.4775545029238
127,16,pER,8,239.26148613976284
127,16,pER,9,244.48357127829146
127,16,sOn,10,253.02703420562005
127,16,sOn,11,265.2560269319074
127,16,sOn,12,278.1061973989382
127,16,sOn,13,290.46433212852577
127,16,sOn,14,296.22437638912294
127,16,sOn,15,295.68826721001386
127,16,sOn,16,297.98081917462986
127,16,sOn,17,296.52490338511757
127,16,sOn,18,291.63763787542484
127,16,sOn,19,282.81913087925966
127,16,n@,20,267.2313979580132
127,16,n@,21,257.35259846923
127,16,n@,22,246.84766236093228
127,16,n@,23,237.142771658204
127,16,n@,24,229.16947771520475
127,16,n@,25,223.11362578225982
127,16,n@,26,218.00943032903055
127,16,n@,27,212.92153700915907
127,16,n@,28,206.9852900378632
127,16,n@,29,200.3983774730733
127,16,vwa,30,193.90948629919853
127,16,vwa,31,188.3060222122996
127,16,vwa,32,185.94991609700313
127,16,vwa,33,186.41793348748106
127,16,vwa,34,188.76527682344562
127,16,vwa,35,190.93577569481224
127,16,vwa,36,192.13602623623615
127,16,vwa,37,191.61505797776735
127,16,vwa,38,189.73482870205484
127,16,vwa,39,187.46463365281875
127,16,Rje~,40,186.012488935034
127,16,Rje~,41,188.1875275734832
127,16,Rje~,42,193.65736154761564
127,16,Rje~,43,199.32738982166154
127,16,Rje~,44,205.9169002496546
127,16,Rje~,45,215.01695856341112
127,16,Rje~,46,225.50363901973452
127,16,Rje~,47,235.4453890084379
127,16,Rje~,48,243.33788169004302
127,16,Rje~,49,244.11339913711967
127,16,dy,50,229.8167130856951
127,16,dy,51,221.7476801011383
127,16,dy,52,214.987055528311
127,16,dy,53,210.40034491689366
127,16,dy,54,208.01387229882414
127,16,dy,55,207.46719266844772
127,16,dy,56,207.2383325587302
127,16,dy,57,205.8898286976523
127,16,dy,58,202.75200676704958
127,16,dy,59,197.41853799880002
127,16,tu,60,189.90077834543627
127,16,tu,61,170.44714064011458
127,16,tu,62,150.68894877789893
127,16,tu,63,131.11450513288662
127,16,tu,64,112.50510101173116
127,16,tu,65,99.64762268810611
127,16,tu,66,95.9400014424662
127,16,tu,67,95.95563694842679
127,16,tu,68,96.13027291990849
127,16,tu,69,96.35209975134164
117,25,pER,0,284.4794209793356
117,25,pER,1,284.0620858344933
117,25,pER,2,279.6515753809657
117,25,pER,3,267.2789420792714
117,25,pER,4,249.39217235859545
117,25,pER,5,235.73462302075927
117,25,pER,6,229.42452840090502
117,25,pER,7,229.8868661597583
117,25,pER,8,232.3529313569048
117,25,pER,9,235.55689679806108
117,25,sOn,10,239.61626974431476
117,25,sOn,11,246.87404748084754
117,25,sOn,12,254.4328282993329
117,25,sOn,13,261.34942543934136
117,25,sOn,14,257.8613351371056
117,25,sOn,15,249.58096976190188
117,25,sOn,16,249.18433509010526
117,25,sOn,17,247.86777367665402
117,25,sOn,18,243.83605375259214
117,25,sOn,19,235.07303143515884
117,25,nEm,30,224.78392663522652
117,25,nEm,31,221.88156229299605
117,25,nEm,32,220.06013556727115
117,25,nEm,33,218.53516018060444
117,25,nEm,34,216.85247878366127
117,25,nEm,35,214.828822052432
117,25,nEm,36,212.51977173744385
117,25,nEm,37,210.8212831496331
117,25,nEm,38,209.86072836244708
117,25,nEm,39,209.36170500805986
117,25,lo,40,209.2800546792576
117,25,lo,41,209.78375804801462
117,25,lo,42,209.32512196039286
117,25,lo,43,208.73897974857783
117,25,lo,44,209.91176085605787
117,25,lo,45,213.14041271188213
117,25,lo,46,217.91486306082234
117,25,lo,47,222.1433910589228
117,25,lo,48,227.6406696351051
117,25,lo,49,232.37400322886054
117,25,da~,50,229.86413943729886
117,25,da~,51,225.6840519452545
117,25,da~,52,222.7823603347911
117,25,da~,53,222.62461574207515
117,25,da~,54,223.37140075232819
117,25,da~,55,222.9760049222125
117,25,da~,56,220.41161023617684
117,25,da~,57,217.79207055363068
117,25,da~,58,215.83643821751886
117,25,da~,59,214.63250119528698
117,25,le,60,213.47968449080412
117,25,le,61,212.66274475203625
117,25,le,62,212.16682416969513
117,25,le,63,212.13753485109945
117,25,le,64,212.5558969501515
117,25,le,65,213.4031861315575
